feature,importance,importance_share,feature_type
pixel_r11_c03,7.0,0.0007777777777777777,pixel
pixel_r11_c04,7.0,0.0007777777777777777,pixel
pixel_r11_c16,7.0,0.0007777777777777777,pixel
pixel_r05_c17,7.0,0.0007777777777777777,pixel
pixel_r06_c06,7.0,0.0007777777777777777,pixel
pixel_r11_c22,7.0,0.0007777777777777777,pixel
pixel_r10_c16,7.0,0.0007777777777777777,pixel
pixel_r14_c02,7.0,0.0007777777777777777,pixel
pixel_r16_c11,7.0,0.0007777777777777777,pixel
pixel_r20_c06,7.0,0.0007777777777777777,pixel
pixel_r01_c18,7.0,0.0007777777777777777,pixel
pixel_r00_c09,7.0,0.0007777777777777777,pixel
pixel_r17_c22,7.0,0.0007777777777777777,pixel
pixel_r08_c21,7.0,0.0007777777777777777,pixel
pixel_r02_c18,7.0,0.0007777777777777777,pixel
pixel_r25_c21,7.0,0.0007777777777777777,pixel
pixel_r17_c17,7.0,0.0007777777777777777,pixel
pixel_r14_c15,7.0,0.0007777777777777777,pixel
pixel_r03_c17,7.0,0.0007777777777777777,pixel
pixel_r06_c18,7.0,0.0007777777777777777,pixel
pixel_r20_c23,7.0,0.0007777777777777777,pixel
pixel_r23_c23,7.0,0.0007777777777777777,pixel
pixel_r06_c20,7.0,0.0007777777777777777,pixel
pixel_r03_c20,7.0,0.0007777777777777777,pixel
pixel_r24_c09,7.0,0.0007777777777777777,pixel
pixel_r24_c12,7.0,0.0007777777777777777,pixel
pixel_r04_c08,7.0,0.0007777777777777777,pixel
pixel_r27_c20,7.0,0.0007777777777777777,pixel
pixel_r00_c07,7.0,0.0007777777777777777,pixel
pixel_r26_c25,7.0,0.0007777777777777777,pixel
pixel_r07_c12,7.0,0.0007777777777777777,pixel
pixel_r02_c17,7.0,0.0007777777777777777,pixel
pixel_r07_c21,7.0,0.0007777777777777777,pixel
pixel_r14_c07,7.0,0.0007777777777777777,pixel
pixel_r14_c12,7.0,0.0007777777777777777,pixel
pixel_r26_c06,7.0,0.0007777777777777777,pixel
pixel_r26_c07,7.0,0.0007777777777777777,pixel
pixel_r14_c25,7.0,0.0007777777777777777,pixel
pixel_r16_c20,7.0,0.0007777777777777777,pixel
pixel_r04_c16,7.0,0.0007777777777777777,pixel
pixel_r23_c22,7.0,0.0007777777777777777,pixel
pixel_r00_c20,6.0,0.0006666666666666666,pixel
pixel_r16_c03,6.0,0.0006666666666666666,pixel
pixel_r09_c24,6.0,0.0006666666666666666,pixel
pixel_r09_c07,6.0,0.0006666666666666666,pixel
pixel_r09_c09,6.0,0.0006666666666666666,pixel
pixel_r11_c06,6.0,0.0006666666666666666,pixel
pixel_r10_c21,6.0,0.0006666666666666666,pixel
pixel_r22_c25,6.0,0.0006666666666666666,pixel
pixel_r04_c20,6.0,0.0006666666666666666,pixel
pixel_r28_c25,6.0,0.0006666666666666666,pixel
pixel_r01_c13,6.0,0.0006666666666666666,pixel
pixel_r31_c19,6.0,0.0006666666666666666,pixel
pixel_r11_c00,6.0,0.0006666666666666666,pixel
pixel_r22_c08,6.0,0.0006666666666666666,pixel
pixel_r21_c27,6.0,0.0006666666666666666,pixel
pixel_r21_c31,6.0,0.0006666666666666666,pixel
pixel_r18_c23,6.0,0.0006666666666666666,pixel
pixel_r15_c21,6.0,0.0006666666666666666,pixel
pixel_r16_c02,6.0,0.0006666666666666666,pixel
pixel_r22_c11,6.0,0.0006666666666666666,pixel
pixel_r16_c08,6.0,0.0006666666666666666,pixel
pixel_r16_c04,6.0,0.0006666666666666666,pixel
pixel_r16_c14,6.0,0.0006666666666666666,pixel
pixel_r15_c08,6.0,0.0006666666666666666,pixel
pixel_r00_c15,6.0,0.0006666666666666666,pixel
pixel_r27_c09,6.0,0.0006666666666666666,pixel
pixel_r00_c08,6.0,0.0006666666666666666,pixel
pixel_r07_c10,6.0,0.0006666666666666666,pixel
pixel_r07_c11,6.0,0.0006666666666666666,pixel
pixel_r20_c08,6.0,0.0006666666666666666,pixel
pixel_r16_c10,6.0,0.0006666666666666666,pixel
pixel_r30_c23,6.0,0.0006666666666666666,pixel
pixel_r27_c24,6.0,0.0006666666666666666,pixel
pixel_r15_c14,6.0,0.0006666666666666666,pixel
pixel_r14_c26,6.0,0.0006666666666666666,pixel
pixel_r08_c01,6.0,0.0006666666666666666,pixel
pixel_r25_c19,6.0,0.0006666666666666666,pixel
pixel_r21_c03,6.0,0.0006666666666666666,pixel
pixel_r20_c29,6.0,0.0006666666666666666,pixel
pixel_r13_c07,6.0,0.0006666666666666666,pixel
pixel_r13_c06,6.0,0.0006666666666666666,pixel
pixel_r25_c20,6.0,0.0006666666666666666,pixel
pixel_r25_c26,6.0,0.0006666666666666666,pixel
pixel_r26_c04,6.0,0.0006666666666666666,pixel
pixel_r24_c15,6.0,0.0006666666666666666,pixel
pixel_r17_c26,6.0,0.0006666666666666666,pixel
pixel_r25_c13,6.0,0.0006666666666666666,pixel
pixel_r12_c24,6.0,0.0006666666666666666,pixel
pixel_r24_c00,6.0,0.0006666666666666666,pixel
pixel_r21_c21,6.0,0.0006666666666666666,pixel
pixel_r06_c07,6.0,0.0006666666666666666,pixel
pixel_r21_c20,6.0,0.0006666666666666666,pixel
pixel_r21_c24,6.0,0.0006666666666666666,pixel
pixel_r15_c27,6.0,0.0006666666666666666,pixel
pixel_r07_c20,6.0,0.0006666666666666666,pixel
pixel_r25_c14,6.0,0.0006666666666666666,pixel
pixel_r14_c08,6.0,0.0006666666666666666,pixel
pixel_r14_c23,6.0,0.0006666666666666666,pixel
pixel_r00_c06,6.0,0.0006666666666666666,pixel
pixel_r07_c06,6.0,0.0006666666666666666,pixel
pixel_r27_c31,6.0,0.0006666666666666666,pixel
pixel_r06_c26,6.0,0.0006666666666666666,pixel
pixel_r18_c03,6.0,0.0006666666666666666,pixel
pixel_r18_c08,6.0,0.0006666666666666666,pixel
pixel_r22_c05,5.0,0.0005555555555555556,pixel
pixel_r10_c27,5.0,0.0005555555555555556,pixel
pixel_r19_c00,5.0,0.0005555555555555556,pixel
pixel_r11_c01,5.0,0.0005555555555555556,pixel
pixel_r19_c01,5.0,0.0005555555555555556,pixel
pixel_r10_c02,5.0,0.0005555555555555556,pixel
pixel_r10_c04,5.0,0.0005555555555555556,pixel
pixel_r28_c23,5.0,0.0005555555555555556,pixel
pixel_r01_c06,5.0,0.0005555555555555556,pixel
pixel_r31_c24,5.0,0.0005555555555555556,pixel
pixel_r15_c26,5.0,0.0005555555555555556,pixel
pixel_r01_c14,5.0,0.0005555555555555556,pixel
pixel_r15_c28,5.0,0.0005555555555555556,pixel
pixel_r00_c22,5.0,0.0005555555555555556,pixel
pixel_r00_c18,5.0,0.0005555555555555556,pixel
pixel_r30_c07,5.0,0.0005555555555555556,pixel
pixel_r00_c25,5.0,0.0005555555555555556,pixel
pixel_r06_c00,5.0,0.0005555555555555556,pixel
pixel_r05_c20,5.0,0.0005555555555555556,pixel
pixel_r21_c26,5.0,0.0005555555555555556,pixel
pixel_r11_c28,5.0,0.0005555555555555556,pixel
pixel_r11_c25,5.0,0.0005555555555555556,pixel
pixel_r21_c22,5.0,0.0005555555555555556,pixel
pixel_r06_c17,5.0,0.0005555555555555556,pixel
pixel_r23_c03,5.0,0.0005555555555555556,pixel
pixel_r04_c21,5.0,0.0005555555555555556,pixel
pixel_r05_c16,5.0,0.0005555555555555556,pixel
pixel_r11_c05,5.0,0.0005555555555555556,pixel
pixel_r05_c14,5.0,0.0005555555555555556,pixel
pixel_r08_c02,5.0,0.0005555555555555556,pixel
pixel_r08_c03,5.0,0.0005555555555555556,pixel
pixel_r19_c25,5.0,0.0005555555555555556,pixel
pixel_r08_c27,5.0,0.0005555555555555556,pixel
pixel_r08_c25,5.0,0.0005555555555555556,pixel
pixel_r08_c31,5.0,0.0005555555555555556,pixel
